,County,Coordinates,Area (sq/mi),Radius (mi)
44,TREUTLEN,"[32.396098, -82.5666186]",199.44,7.967784889970424
45,HALL,"[34.2905901, -83.8194028]",392.78,11.181656609504088
46,HABERSHAM,"[34.6270741, -83.5016755]",276.74,9.385716592300176
47,BANKS,"[34.3378598, -83.4970026]",232.09,8.595273140309015
48,UNION,"[34.8180274, -83.9903969]",321.93,10.123068899969287
49,FANNIN,"[34.8867955, -84.2715585]",386.72,11.095063304507109
50,HART,"[34.3410525, -82.9503277]",232.39,8.600826479983606
51,JACKSON,"[34.1282559, -83.5753386]",339.66,10.398092358007776
52,FRANKLIN,"[34.3678642, -83.2156575]",261.50,9.12362264737436
53,GILMER,"[34.6859788, -84.452696]",426.54,11.65229175874603
54,RABUN,"[34.8796123, -83.4251357]",369.99,10.852416701966337
55,WHITE,"[34.6322605, -83.7596041]",240.69,8.753071810222584
56,LUMPKIN,"[34.5546076, -83.9926806]",282.93,9.490103911890284
57,DAWSON,"[34.4077085, -84.1356771]",210.83,8.192145786443508
58,STEPHENS,"[34.55119, -83.2976462]",179.13,7.551194050823218
59,TOWNS,"[34.8971655, -83.7182775]",166.56,7.281432435729322
